Eliminated,ALP,LNP,GRN,ON,IND,OTH
ALP,0.0,0.15,0.5,0.1,0.15,0.1
LNP,0.15,0.0,0.15,0.3,0.2,0.2
GRN,0.7,0.05,0.0,0.05,0.1,0.1
ON,0.15,0.4,0.1,0.0,0.1,0.25
IND,0.25,0.25,0.2,0.15,0.0,0.15
OTH,0.15,0.15,0.2,0.3,0.2,0.0
